,QueryID,Query,Query_GrpID
0,0,My kid puts these stickers on my kitchen windows. I can't get them off properly. Any advice on what to use?,0
1,1,I put a sticker on my car window. How can I remove it without damaging the glass.,0
2,2,How can I remove a sticker from my window?,0
3,3,I glued some photos on my bathroom mirror. What would be the best way to get them off?,0
4,4,I found some world cup album stickers stuck on my glass table. I peeled them off but I still cant get it completely clean. Any advice?,0
5,5,I had a funny sticker on my rear car window for ages. Now its a bit worn and i wanna take it off. How can I do that cleanly?,0
6,6,"My neighbours daughter put some stickers on the glass part of my front door. They are stuck, I don't know how to get rid of them.",0
7,7,I used to have some images glued stuck to my glass patio door. What can I use to smoothly remove them.,0
8,8,How to remove a glue stain that was left from a sticker on my car window?,0
9,9,My daughter pasted a sticky photo on the glass surface of my coffee table. How do I remove the photo (and the glue)?,0
10,10,I accidentally glued a sticker on the little glass door of my cabinet. What is the best cleanser to use?,0
11,11,"This morning I woke up and found that my asshole friends have stuck an enormous penis sticker on my window. I tried everything, but I cannot take it off, what to do?",0
12,12,My five-year old son stuck a tiny kinder-egg sticker on one of my precious crystal glasses. How do I get it off without damaging the surface of the glass?,0
13,13,What is the best strategy for removing stickers from delicate glass surfaces?,0
14,14,Is it possible to take off glued stickers from glass without scratching the glass?,0
15,15,"I put a sticker on my car window many years ago, but now I want it off and it doesn't peal off. What do I do?",0
16,16,Those damn kids put some Halloween stickers on my front window. How can I remove them without leaving those annoying sticky traces?,0
17,17,The worst thing you can do is to put a price tag over declaration so that you can't remove it from the jar without destroying the declaration.,0
18,18,I've wet that sticker but it's not getting off. Is there something I can do?,0
19,19,How to quickly remove the declaration from an old jar?,0
20,20,Is there a quick and clever way to get rid of the sticker stuck on a glass surface?,0
21,21,Some dork put a sticker on my rear mirror when I was buying chewing gums and I can't peel it of with my nails. Is there a clever way to do it?,0
22,22,Any advice on how to perfectly remove the sticker from a glass surface?,0
23,23,Does watering the sticker helps in its removal from a window?,0
24,24,How do I change the chain on my lawnmower?,1
25,25,I think I need to change the oil in my lawn mower. How do I go about that?,1
26,26,How often do I need to change the oil in my lawn mower?,1
27,27,How do I maintain my lawn mower? What are the most important maintenance tasks?,1
28,28,"My lawnmower works more slowly than usual, is there anything I can do to get it back in shape?",1
29,29,I've just bought a brand new lawn mower. Anything maintanance wise I should be aware of? I want to keep it in top shape as long as possible.,1
30,30,I think I need to change the blades on my lawnmower. Any instructions on how to do this?,1
31,31,How do I know it's time to have my lawn mower serviced?,1
32,32,My lawnmower doesn't mow as good as it used to. Probably the blades wore off. How do I replace it?,1
33,33,I was mowing my lawn this morning and realised the machine doesn't cut the grass all that well. What could be the problem?,1
34,34,I was mowing my lawn yesterday and the machine simply stopped working. What might be the issue?,1
35,35,"What's the best liquid (oil? if yes, what kind?) for spraying the engine of the lawnmower?",1
36,36,My lawnmower doesn't work as well as it used to. What parts wear off first?,1
37,37,Is it possible to replace the broken engine of the lawnmower? Is it better to simply buy a new one?,1
38,38,I already had two chains on my lawnmower snap. Can someone recommend a solid robust chain that won't break it a matter of weeks?,1
39,39,"My wife went to mow the lawn, and, naturally, broke something in the machine. Where do I take it for repair?",1
40,40,Can you adjust lawnmower body height to make it easier to clean?,1
41,41,What type of fuel is recommended for regular lawnmowers?,1
42,42,I heard that you can make your lawnmower as good as new if you change its blades. Is that true or a myth?,1
43,43,What's the best way to clean the lawnmower? I've never cleaned it and now it is all full of grass and dirt.,1
44,44,Can you whet the old blades or do you have to buy new ones?,1
45,45,My lawnmover is making some really loud noises and it heates up quite a bit. Are there some usual suspects I should pay my attention on?,1
46,46,"One day my lawnmover just shut down. I can't make it work again. I've refilled the fuel, but still nothing. Help!",1
47,47,I was careless so I drove my lawnmover over a rocky terrain. It seems that it can't cut anything now. What can I do?,1
48,48,I cannot start my lawnmover. It just makes some wheezing noises and that's it. What is the problem with it?,1
49,49,I have to mow my lawn three times in order to make it somewhat tidy. Am I missing something?,1
50,50,My tub wont drain properly. How can I fix this?,2
51,51,The water in my sink just doesnt go down. I need to unclog the pipes. How do I do that?,2
52,52,My drain pipes are full of leaves and the water doesn't drain  properly. What's the best way to clean them up.,2
53,53,I think the pipes under my tub are clogged. Is there any way I can clear them without having to call a plumber.,2
54,54,My kitchen sink is clogged. How can I fix this?,2
55,55,Removing clogs from pipes.,2
56,56,"My shower water goes away very very slowly, I think there is a problem with the pipes. How can I fix this.",2
57,57,Fixing obstruction in water pipes.,2
58,58,"My wife likes to take bubble baths, but the water takes forever to drain. What could be the problem?",2
59,59,I have a clogged sink. I don't remember throwing anything in that could prevent draining. What to do?,2
60,60,"I have drainage issues with the tube. I let the water in, but it won't flow.",2
61,61,"What are the most common causes of clogging if the pipes? Female hair, dust, what?",2
62,62,"Everytime after my wife gives bath to our little children, the water drains very slowly. However, when I take a bath, everything is ok. What might be the problem?",2
63,63,I was peeling tomatoes in the sink yesterday and now my sink drain is clogged. What should I do?,2
64,64,My son's tiny plastic toy fell into the kitchen sink drain and now it clogs it. How can I get it out?,2
